,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Beijing_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Haerbin_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Jinan_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Rongcheng_嘔 吐,0.581,0.581,0.581,1.000,NaN,1.000,NaN,0.581,NaN,0.793,0.581,0.581,0.376,0.793,0.305,0.581,1.000,0.581,0.581
Taiyuan_嘔 嘞,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XiAn_嘔 吐,0.581,0.581,0.581,1.000,NaN,1.000,NaN,0.581,NaN,0.793,0.581,0.581,0.376,0.793,0.305,0.581,1.000,0.581,0.581
Chengdu_發 吐 了,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nanjing_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Jixi_㽹 惡,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suzhou_嘔,0.600,0.600,0.600,0.793,NaN,0.793,NaN,0.600,NaN,1.000,0.600,0.600,0.526,1.000,0.457,0.600,0.793,0.600,0.600
Wenzhou_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Changsha_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Loudi_囗,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.591,0.447,0.447,1.000,0.447,0.447,0.447,0.447,0.380,0.380
Nanchang_嘔,0.600,0.600,0.600,0.793,NaN,0.793,NaN,0.600,NaN,1.000,0.600,0.600,0.526,1.000,0.457,0.600,0.793,0.600,0.600
Meixian_翻,0.532,0.532,0.532,0.305,NaN,0.305,NaN,0.532,NaN,0.457,0.532,0.532,0.565,0.457,1.000,0.532,0.305,0.532,0.532
Guilin_吐,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.462,0.462
Guangzhou_嘔 吐,0.581,0.581,0.581,1.000,NaN,1.000,NaN,0.581,NaN,0.793,0.581,0.581,0.376,0.793,0.305,0.581,1.000,0.581,0.581
Fuzhou_吐,1.000,1.000,1.000,0.581,NaN,0.581,NaN,1.000,NaN,0.600,1.000,1.000,0.545,0.600,0.532,1.000,0.581,1.000,1.000
Xiamen_吐,1.000,1.000,1.000,0.581,NaN,0.581,NaN,1.000,NaN,0.600,1.000,1.000,0.545,0.600,0.532,1.000,0.581,1.000,1.000
Beijing_怕,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.544,1.000,1.000,1.000,1.000,1.000,1.000,0.304,0.304
Haerbin_怕,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.544,1.000,1.000,1.000,1.000,1.000,1.000,0.304,0.304
Jinan_怕,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.544,1.000,1.000,1.000,1.000,1.000,1.000,0.304,0.304
Rongcheng_怕,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.544,1.000,1.000,1.000,1.000,1.000,1.000,0.304,0.304
