ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morpheme_Glosses,Partial_Cognacy,Chinese_Characters
Beijing-91_vomit-1,,Beijing,91_vomit,tʰu⁵¹,tʰu⁵¹,tʰ u ⁵¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Haerbin-91_vomit-1,,Haerbin,91_vomit,tʰu⁵³,tʰu⁵³,tʰ u ⁵³,,Liu2007,,,,,i n t,spit/吐,1,吐
Jinan-91_vomit-1,,Jinan,91_vomit,tʰu³¹,tʰu³¹,tʰ u ³¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Rongcheng-91_vomit-1,,Rongcheng,91_vomit,ou²¹³⁻³⁵ tʰu²¹⁴,ou²¹³⁻³⁵ tʰu²¹⁴,ou ²¹³ + tʰ u ²¹⁴,copulative synonyme,Liu2007,,,,,n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Taiyuan-91_vomit-1,,Taiyuan,91_vomit,tʰu⁵³ lə⁰,tʰu⁵³ lə⁰,tʰ u ⁵³ + l ə ⁰,,Liu2007,,,,,i n t + i n t,nausea/嘔 _:PERFECTIVE/了,2 5,嘔 嘞
XiAn-91_vomit-1,,XiAn,91_vomit,ŋou²¹ tʰu⁵³,ŋou²¹ tʰu⁵³,ŋ ou ²¹ + tʰ u ⁵³,copulative synonyme,Liu2007,,,,,i n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Chengdu-91_vomit-1,,Chengdu,91_vomit,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,!i,Liu2007,,,,,i n t + i n t + i n t,_send.out/發 spit/吐 _:PERFECTIVE/了,4 1 5,發 吐 了
Chengdu-91_vomit-2,,Chengdu,91_vomit,tʰu⁵³⁻⁵⁵ lo²¹,tʰu⁵³⁻⁵⁵ lo²¹,tʰ u ⁵³ + l o ²¹,,Liu2007,,,,,i n t + i n t,spit/吐 _:PERFECTIVE/了,1 5,吐 了
Chengdu-91_vomit-3,,Chengdu,91_vomit,ŋəu⁵³⁻⁴⁵ lo²¹,ŋəu⁵³⁻⁴⁵ lo²¹,ŋ əu ⁵³ + l o ²¹,!i,Liu2007,,,,,i n t + i n t,nausea/嘔 _:PERFECTIVE/了,2 5,嘔 了
Nanjing-91_vomit-1,,Nanjing,91_vomit,tʰu⁴⁴,tʰu⁴⁴,tʰ u ⁴⁴,,Liu2007,,,,,i n t,spit/吐,1,吐
Nanjing-91_vomit-2,,Nanjing,91_vomit,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ ¹¹ + tʰ u ⁴⁴,copulative synonyme,Liu2007,,,,,n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Jixi-91_vomit-1,,Jixi,91_vomit,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,f ɔ ⁵⁵ + ŋ o ʔ ³²,copulative sum. of v1 and v2,Liu2007,,,,,i n t + i n c t,faint/㽹 nausea/惡,6 7,㽹 惡
Suzhou-91_vomit-1,,Suzhou,91_vomit,ʏ⁵²,ʏ⁵²,ʏ ⁵²,,Liu2007,,,,,n t,nausea/嘔,2,嘔
Wenzhou-91_vomit-1,,Wenzhou,91_vomit,tʰøy⁵¹,tʰøy⁵¹,tʰ øy ⁵¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Changsha-91_vomit-1,,Changsha,91_vomit,tʰu⁵⁵,tʰu⁵⁵,tʰ u ⁵⁵,,Liu2007,,,,,i n t,spit/吐,1,吐
Loudi-91_vomit-1,,Loudi,91_vomit,xue⁴²,xue⁴²,x w e ⁴²,,Liu2007,,,,,i m n t,vomit/?,768,囗
Loudi-91_vomit-2,,Loudi,91_vomit,ta³⁵⁻⁵ xue⁴²,ta³⁵⁻⁵ xue⁴²,t a ³⁵ + x w e ⁴²,!i,Liu2007,,,,,i n t + i m n t,_bear.carry/帶 vomit/?,9 768,帶 囗
Nanchang-91_vomit-1,,Nanchang,91_vomit,ŋiɛu²¹³,ŋiɛu²¹³,ŋ j ɛu ²¹³,,Liu2007,,,,,i m n t,nausea/嘔,2,嘔
Nanchang-91_vomit-2,,Nanchang,91_vomit,tʰu²¹³,tʰu²¹³,tʰ u ²¹³,,Liu2007,,,,,i n t,spit/吐,1,吐
Meixian-91_vomit-1,,Meixian,91_vomit,pʰon³³,pʰon³³,pʰ o n ³³,,Liu2007,,,,,i n c t,turn/翻,10,翻
Guilin-91_vomit-1,,Guilin,91_vomit,tʰu²⁵,tʰu²⁵,tʰ u ²⁵,,Liu2007,,,,,i n t,spit/吐,1,吐
Guangzhou-91_vomit-1,,Guangzhou,91_vomit,ŋɐu³⁵ tʰou³³,ŋɐu³⁵ tʰou³³,ŋ ɐu ³⁵ + tʰ ou ³³,copulative synonyme,Liu2007,,,,,i n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Fuzhou-91_vomit-1,,Fuzhou,91_vomit,tʰou²¹²,tʰou²¹²,tʰ ou ²¹²,,Liu2007,,,,,i n t,spit/吐,1,吐
Xiamen-91_vomit-1,,Xiamen,91_vomit,tʰo²¹,tʰo²¹,tʰ o ²¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Beijing-92_fear-1,,Beijing,92_fear,pʰᴀ⁵¹,pʰᴀ⁵¹,pʰ a̠ ⁵¹,,Liu2007,,,,,i n t,fear/怕,11,怕
Haerbin-92_fear-1,,Haerbin,92_fear,pʰa⁵³,pʰa⁵³,pʰ a ⁵³,,Liu2007,,,,,i n t,fear/怕,11,怕
Jinan-92_fear-1,,Jinan,92_fear,pʰa³¹,pʰa³¹,pʰ a ³¹,,Liu2007,,,,,i n t,fear/怕,11,怕
Rongcheng-92_fear-1,,Rongcheng,92_fear,pʰa³³⁴,pʰa³³⁴,pʰ a ³³⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Taiyuan-92_fear-1,,Taiyuan,92_fear,pʰa⁴⁵,pʰa⁴⁵,pʰ a ⁴⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
XiAn-92_fear-1,,XiAn,92_fear,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Chengdu-92_fear-1,,Chengdu,92_fear,pʰa²¹³,pʰa²¹³,pʰ a ²¹³,,Liu2007,,,,,i n t,fear/怕,11,怕
Chengdu-92_fear-2,,Chengdu,92_fear,tsʰa²¹³,tsʰa²¹³,tsʰ a ²¹³,!i,Liu2007,,,,,i n t,fear/诧,12,诧
Nanjing-92_fear-1,,Nanjing,92_fear,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Jixi-92_fear-1,,Jixi,92_fear,pʰo³⁵,pʰo³⁵,pʰ o ³⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Suzhou-92_fear-1,,Suzhou,92_fear,pʰo⁴¹²,pʰo⁴¹²,pʰ o ⁴¹²,!b,Liu2007,,,,,i n t,fear/怕,11,怕
Wenzhou-92_fear-1,,Wenzhou,92_fear,ho⁴¹,ho⁴¹,h o ⁴¹,,Liu2007,,,,,i n t,fear/唬,13,唬
Changsha-92_fear-1,,Changsha,92_fear,pʰa⁵⁵,pʰa⁵⁵,pʰ a ⁵⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Loudi-92_fear-1,,Loudi,92_fear,pʰɔ³⁵,pʰɔ³⁵,pʰ ɔ ³⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Nanchang-92_fear-1,,Nanchang,92_fear,pʰa²¹³,pʰa²¹³,pʰ a ²¹³,,Liu2007,,,,,i n t,fear/怕,11,怕
Meixian-92_fear-1,,Meixian,92_fear,pʰa⁵³,pʰa⁵³,pʰ a ⁵³,!b,Liu2007,,,,,i n t,fear/怕,11,怕
Meixian-92_fear-2,,Meixian,92_fear,vi⁵³,vi⁵³,v i ⁵³,!i,Liu2007,,,,,i n t,fear/畏,14,畏
Meixian-92_fear-3,,Meixian,92_fear,kiaŋ⁴⁴,kiaŋ⁴⁴,k j a ŋ ⁴⁴,,Liu2007,,,,,i m n c t,fear/驚,15,驚
Guilin-92_fear-1,,Guilin,92_fear,pʰᴀ²⁵,pʰᴀ²⁵,pʰ a̠ ²⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Guangzhou-92_fear-1,,Guangzhou,92_fear,pʰa³³,pʰa³³,pʰ a ³³,,Liu2007,,,,,i n t,fear/怕,11,怕
Fuzhou-92_fear-1,,Fuzhou,92_fear,kiaŋ⁵⁵,kiaŋ⁵⁵,k j a ŋ ⁵⁵,,Liu2007,,,,,i m n c t,fear/驚,15,驚
Xiamen-92_fear-1,,Xiamen,92_fear,kiã⁵⁵,kiã⁵⁵,k j ã ⁵⁵,,Liu2007,,,,,i m n t,fear/驚,15,驚
Beijing-93_skin-1,,Beijing,93_skin,pʰi³⁵ fu⁰,pʰi³⁵ fu⁰,pʰ i ³⁵ + f u ⁰,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Haerbin-93_skin-1,,Haerbin,93_skin,ʐou⁵³ pʰiər²⁴,ʐou⁵³ pʰiər²⁴,ʐ ou ⁵³ + pʰ j ə ²⁴,,Liu2007,,,,,i n t + i m n t,flesh/肉 skin/皮,18 16,肉 皮
Jinan-93_skin-1,,Jinan,93_skin,pʰi⁵³ fu²¹⁴,pʰi⁵³ fu²¹⁴,pʰ i ⁵³ + f u ²¹⁴,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Rongcheng-93_skin-1,,Rongcheng,93_skin,pʰi³⁵ fu⁵²,pʰi³⁵ fu⁵²,pʰ i ³⁵ + f u ⁵²,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Taiyuan-93_skin-1,,Taiyuan,93_skin,pʰi²¹ fu²¹,pʰi²¹ fu²¹,pʰ i ²¹ + f u ²¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
XiAn-93_skin-1,,XiAn,93_skin,pʰi²⁴,pʰi²⁴,pʰ i ²⁴,,Liu2007,,,,,i n t,skin/皮,16,皮
Chengdu-93_skin-1,,Chengdu,93_skin,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰ i ²¹ + pʰ i ²¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin:RED/皮,16 801,皮 皮
Chengdu-93_skin-2,,Chengdu,93_skin,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰ i ²¹ + ts ɿ ⁵³,!i,Liu2007,,,,,i n t + i n t,skin/皮 -child:SUF/子,16 19,皮 子
Nanjing-93_skin-1,,Nanjing,93_skin,pʰi¹³ fu³¹,pʰi¹³ fu³¹,pʰ i ¹³ + f u ³¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Jixi-93_skin-1,,Jixi,93_skin,pʰɿ⁴⁴,pʰɿ⁴⁴,pʰ ɿ ⁴⁴,,Liu2007,,,,,i n t,skin/皮,16,皮
Suzhou-93_skin-1,,Suzhou,93_skin,bi¹³⁻²² fu⁴⁴⁻³¹,bi¹³⁻²² fu⁴⁴⁻³¹,b i ¹³ + f u ⁴⁴,,Liu2007,,,,,i n t + i n t,skin/皮 _skin/膚,16 17,皮 膚
